date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-07-18,1338.65,1338.65,1597.47,1597.47,1336.07,1336.07,1581.04,1581.04,2029918.76521,2029918.76521
2022-07-17,1355.84,1355.84,1387.0,1387.0,1319.04,1319.04,1338.65,1338.65,1246202.8795,1246202.8795
2022-07-16,1231.25,1231.25,1422.91,1422.91,1191.23,1191.23,1355.85,1355.85,1493809.9226,1493809.9226
2022-07-15,1193.42,1193.42,1287.82,1287.82,1181.05,1181.05,1231.25,1231.25,1466037.2584,1466037.2584
2022-07-14,1115.01,1115.01,1214.65,1214.65,1072.11,1072.11,1193.42,1193.42,1605101.9262,1605101.9262
2022-07-13,1038.58,1038.58,1119.18,1119.18,1006.32,1006.32,1115.0,1115.0,2035605.8299,2035605.8299
2022-07-12,1096.37,1096.37,1098.26,1098.26,1033.46,1033.46,1038.58,1038.58,1261349.6321,1261349.6321
2022-07-11,1168.37,1168.37,1171.29,1171.29,1091.71,1091.71,1096.4,1096.4,1201652.3048,1201652.3048
2022-07-10,1217.02,1217.02,1219.95,1219.95,1153.0,1153.0,1168.36,1168.36,1018038.6506,1018038.6506
2022-07-09,1214.03,1214.03,1235.4,1235.4,1204.67,1204.67,1217.02,1217.02,576337.1809,576337.1809
2022-07-08,1237.49,1237.49,1276.46,1276.46,1193.15,1193.15,1214.04,1214.04,1189518.3631,1189518.3631
2022-07-07,1186.57,1186.57,1254.29,1254.29,1163.18,1163.18,1237.49,1237.49,1001316.079,1001316.079
2022-07-06,1132.51,1132.51,1205.0,1205.0,1111.44,1111.44,1186.57,1186.57,1211768.0757,1211768.0757
2022-07-05,1151.01,1151.01,1174.9,1174.9,1076.34,1076.34,1132.5,1132.5,1398961.4495,1398961.4495
2022-07-04,1074.26,1074.26,1160.9,1160.9,1045.37,1045.37,1151.0,1151.0,1150108.9861,1150108.9861
2022-07-03,1067.01,1067.01,1088.34,1088.34,1040.78,1040.78,1074.26,1074.26,644746.3337,644746.3337
2022-07-02,1059.73,1059.73,1078.88,1078.88,1028.29,1028.29,1067.01,1067.01,714812.0804,714812.0804
2022-07-01,1071.02,1071.02,1117.0,1117.0,1033.44,1033.44,1059.73,1059.73,1562255.1439,1562255.1439
2022-06-30,1100.21,1100.21,1106.62,1106.62,998.0,998.0,1071.01,1071.01,1420670.3656,1420670.3656
2022-06-29,1144.05,1144.05,1156.8,1156.8,1087.42,1087.42,1100.21,1100.21,1295517.796,1295517.796
2022-06-28,1192.51,1192.51,1237.99,1237.99,1136.32,1136.32,1144.05,1144.05,1104065.2211,1104065.2211
2022-06-27,1197.79,1197.79,1238.93,1238.93,1172.49,1172.49,1192.51,1192.51,868734.2061,868734.2061
2022-06-26,1242.31,1242.31,1280.0,1280.0,1194.6,1194.6,1197.79,1197.79,884184.273,884184.273
2022-06-25,1225.02,1225.02,1256.77,1256.77,1180.0,1180.0,1242.36,1242.36,861986.6177,861986.6177
2022-06-24,1144.71,1144.71,1245.43,1245.43,1132.0,1132.0,1225.02,1225.02,1337137.483,1337137.483
2022-06-23,1050.19,1050.19,1155.0,1155.0,1045.3,1045.3,1144.72,1144.72,1278257.0899,1278257.0899
2022-06-22,1125.86,1125.86,1127.33,1127.33,1043.65,1043.65,1050.19,1050.19,1306959.8593,1306959.8593
2022-06-21,1128.24,1128.24,1194.0,1194.0,1109.23,1109.23,1125.85,1125.85,1306095.3757,1306095.3757
2022-06-20,1128.53,1128.53,1170.0,1170.0,1053.0,1053.0,1128.24,1128.24,1721772.9132,1721772.9132
2022-06-19,995.12,995.12,1158.62,1158.62,936.15,936.15,1128.53,1128.53,2018599.4499,2018599.4499
2022-06-18,1086.93,1086.93,1097.58,1097.58,881.56,881.56,995.13,995.13,2308983.5187,2308983.5187
2022-06-17,1068.5,1068.5,1118.0,1118.0,1051.11,1051.11,1086.94,1086.94,1220677.9491,1220677.9491
2022-06-16,1237.53,1237.53,1257.85,1257.85,1051.55,1051.55,1068.5,1068.5,1447386.8304,1447386.8304
2022-06-15,1208.9,1208.9,1250.0,1250.0,1014.4,1014.4,1237.52,1237.52,3114823.13621,3114823.13621
2022-06-14,1209.35,1209.35,1268.45,1268.45,1075.8,1075.8,1208.9,1208.9,2716493.80131,2716493.80131
2022-06-13,1434.84,1434.84,1455.0,1455.0,1165.45,1165.45,1209.82,1209.82,3626351.66536,3626351.66536
2022-06-12,1532.89,1532.89,1547.0,1547.0,1423.0,1423.0,1434.84,1434.84,1563225.37018,1563225.37018
2022-06-11,1662.91,1662.91,1682.21,1682.21,1496.74,1496.74,1532.89,1532.89,1220325.2542,1220325.2542
2022-06-10,1788.8,1788.8,1804.32,1804.32,1655.93,1655.93,1662.91,1662.91,955035.79239,955035.79239
2022-06-09,1791.88,1791.88,1833.0,1833.0,1777.33,1777.33,1788.81,1788.81,535310.9618,535310.9618
2022-06-08,1813.33,1813.33,1838.77,1838.77,1765.28,1765.28,1791.88,1791.88,941510.1373,941510.1373
2022-06-07,1859.84,1859.84,1874.98,1874.98,1725.13,1725.13,1813.33,1813.33,1397598.2288,1397598.2288
2022-06-06,1806.22,1806.22,1920.0,1920.0,1804.35,1804.35,1859.84,1859.84,804250.3567,804250.3567
2022-06-05,1804.58,1804.58,1830.17,1830.17,1773.05,1773.05,1806.23,1806.23,371974.5061,371974.5061
2022-06-04,1775.13,1775.13,1816.0,1816.0,1748.43,1748.43,1804.58,1804.58,388279.4579,388279.4579
2022-06-03,1834.09,1834.09,1843.91,1843.91,1737.0,1737.0,1775.12,1775.12,741282.5346,741282.5346
2022-06-02,1817.96,1817.96,1853.05,1853.05,1782.42,1782.42,1834.08,1834.08,788784.4017,788784.4017
2022-06-01,1941.9,1941.9,1972.58,1972.58,1763.75,1763.75,1817.95,1817.95,1037841.2706,1037841.2706
2022-05-31,1998.78,1998.78,2016.45,2016.45,1925.0,1925.0,1941.9,1941.9,751103.4226,751103.4226
2022-05-30,1813.64,1813.64,2013.0,2013.0,1803.18,1803.18,1998.78,1998.78,814922.8359,814922.8359
2022-05-29,1792.21,1792.21,1827.4,1827.4,1759.96,1759.96,1813.64,1813.64,432430.611,432430.611
